Actor_ID,Name,Age,Nationality,Top_Movie,Oscars_Won
1,Robert Downey Jr.,59,American,Iron Man,2
2,Chris Hemsworth,41,Australian,Thor: Ragnarok,0
3,Scarlett Johansson,40,American,Black Widow,0
4,Leonardo DiCaprio,50,American,Inception,1
5,Denzel Washington,70,American,Training Day,2
6,Tom Holland,29,British,Spider-Man: No Way Home,0
7,Ryan Reynolds,48,Canadian,Deadpool,0
8,Benedict Cumberbatch,49,British,Doctor Strange,0
9,Hugh Jackman,56,Australian,Logan,0
10,Natalie Portman,44,Israeli-American,Black Swan,1
